ID,Location,Year,BAI.mean,BAI.lower,BAI.upper,BAI.HPDwidth,BAI.var,BAI.cv,BAI.sd
15BW1,Chile,2015,12.32471806,12.25012924,12.39768648,0.147557239,0.004155605,0.523046289,0.06446398
15BW5,Chile,2015,12.00683765,11.93213832,12.08287043,0.150732104,0.003799037,0.513343595,0.061636332
15BW6,Chile,2015,12.54592745,12.46567682,12.62134052,0.155663693,0.003565639,0.475955008,0.05971297
15BW8,Chile,2015,12.60962763,12.5407457,12.67869602,0.137950318,0.002249698,0.376148963,0.047430984
15BW9,Chile,2015,12.75745585,12.67027393,12.84571028,0.17543635,0.003990691,0.495176431,0.063171915
15BW11,Chile,2015,13.89486684,13.81887493,13.97386533,0.1549904,0.003074307,0.39904254,0.05544643
15BW16,Chile,2015,13.02000906,12.94672294,13.09714813,0.150425187,0.002412214,0.377221629,0.04911429
15BW17,Chile,2015,12.3145091,12.2370006,12.38810744,0.151106847,0.003282586,0.46525487,0.057293853
15BW20,Chile,2015,12.61308263,12.53474873,12.68720005,0.152451323,0.00236585,0.385631366,0.048640003
17BW5,Chile,2017,13.1320543,13.04001403,13.21926767,0.179253645,0.005345841,0.55676937,0.073115256
17BW7,Chile,2017,12.49232207,12.41303673,12.57504733,0.162010597,0.00338513,0.465741052,0.058181872
NZBW015,NZ,2016,14.12905992,13.79943408,14.45847262,0.659038544,0.025674781,1.134070647,0.160233521
NZBW020,NZ,2016,13.892385,13.39338198,14.40779484,1.014412865,0.060645944,1.772654391,0.246263973
NZBW101,NZ,2017,12.98728717,12.63170966,13.34654926,0.714839605,0.030316999,1.340678552,0.174117774
NZBW102,NZ,2017,14.3944595,14.03111387,14.78154223,0.750428362,0.033653092,1.27443334,0.183447791
NZBW103,NZ,2017,14.59946938,14.11732522,15.13038616,1.013060941,0.06127786,1.695566088,0.247543652
NZBW117,NZ,2017,14.14837038,13.78439365,14.52419533,0.739801682,0.033073097,1.285378433,0.181860102
NZBW118,NZ,2017,16.14916329,15.61840472,16.69683754,1.078432822,0.068700273,1.62303993,0.262107369
NZBW129,NZ,2017,13.39367396,13.17056255,13.60933572,0.438773176,0.012349597,0.829710673,0.111128742
NZBW135,NZ,2017,17.14886556,16.67441389,17.62725507,0.952841174,0.054447493,1.360672318,0.233339867
NZBW136,NZ,2017,13.27468419,12.9407653,13.59776812,0.657002819,0.025875501,1.21176998,0.160858638
NZBW137,NZ,2017,13.98956719,13.62822272,14.33820951,0.709986783,0.030119858,1.240572594,0.173550737
BW180904-48,CA,2018,12.89799015,12.79887809,12.99568994,0.196811845,0.002531393,0.390083658,0.050312952
BM20170816-UNID3,CA,2017,13.42694694,13.37725369,13.47767837,0.100424676,0.000603096,0.182900951,0.024558014
BW180829_A_F3-01,CA,2018,11.92027229,11.88123497,11.95923464,0.07799967,0.000382337,0.164035194,0.019553442
BM170816-42,CA,2017,12.94267157,12.84743128,13.04087438,0.193443098,0.002421538,0.380208366,0.04920912
BM170815-31,CA,2017,13.64771444,13.6002856,13.69530327,0.095017667,0.000535997,0.169637324,0.023151618
BM170816-27,CA,2017,15.03146565,14.74635996,15.32724071,0.580880752,0.021880589,0.984074955,0.147920889
BW180830-46,CA,2018,13.18995321,13.07929979,13.30910495,0.229805167,0.003198397,0.42876853,0.056554369
BW180830-48,CA,2018,12.86509676,12.71167991,13.01473872,0.303058802,0.005948543,0.599504201,0.077126796
BW180830-52,CA,2018,13.20547776,13.11743205,13.2915023,0.17407025,0.001958904,0.335160241,0.044259511
BW180905-53,CA,2018,12.32948605,12.28538474,12.3752055,0.089820754,0.000492677,0.180026313,0.022196319
BM170816-51,CA,2017,12.87738408,12.78261579,12.97519594,0.192580145,0.002389048,0.379563813,0.04887789
BM170814-40,CA,2017,13.61876271,13.47532657,13.75767247,0.282345903,0.00515058,0.526975491,0.071767542
BW180904-52,CA,2018,12.7403526,12.65802145,12.82105416,0.163032705,0.001713904,0.324946462,0.041399325
BW180829-47,CA,2018,12.18724412,12.08605354,12.28929411,0.203240566,0.002480589,0.40866923,0.049805517
BW180904-44,CA,2018,12.46923917,12.36397825,12.57707712,0.213098872,0.002917491,0.433176454,0.054013808
BW180830_L_F3-01,CA,2018,12.57654216,12.49562091,12.66017564,0.164554732,0.001694118,0.327273257,0.041159659
BM170814-50,CA,2017,13.61216321,13.49230122,13.72830382,0.236002597,0.003581759,0.439664104,0.059847795
BM170816-23,CA,2017,14.35592609,14.30792816,14.40606975,0.09814159,0.000575012,0.167034887,0.023979405
BM170816-41,CA,2017,11.84189577,11.79466251,11.88725998,0.092597461,0.000512399,0.191153757,0.022636229
BW180830_A_F3-03,CA,2018,12.75521628,12.69526109,12.81331461,0.118053525,0.000819976,0.224498075,0.028635215
BW180905-42,CA,2018,12.30070914,12.19510647,12.40241328,0.207306811,0.00278927,0.429353633,0.052813542
BW180827-52,CA,2018,14.8554635,14.75950092,14.95043205,0.190931129,0.002277078,0.321220119,0.047718738
BM20170816-UNID1,CA,2017,13.43247791,13.23531206,13.61649315,0.381181096,0.009280816,0.717194505,0.096336993
BW180828-49,CA,2018,12.47214428,12.4414905,12.50440211,0.062911602,0.000247046,0.126022372,0.015717692
BM170815-43,CA,2017,13.62364182,13.48183558,13.76111435,0.279278765,0.005023178,0.520230814,0.070874383
BM170815-21,CA,2017,12.56012197,12.43564158,12.68362767,0.247986095,0.003966927,0.501456453,0.062983542
BW170816-44,CA,2017,12.58277717,12.53269554,12.63384794,0.101152395,0.000603918,0.195304586,0.024574741
BM170815-28,CA,2017,12.6598795,12.60578706,12.71090929,0.105122225,0.00064722,0.200953819,0.025440511
BW180830_L_F4-02,CA,2018,11.97020669,11.86753996,12.07667796,0.209138,0.002809212,0.442782645,0.053001998
BW180829-30,CA,2018,12.80850071,12.76455741,12.8517791,0.087221689,0.000476328,0.170394206,0.021824943
BW180904_A_F4-01,CA,2018,13.54173588,13.45293535,13.63174146,0.178806105,0.002066113,0.335662415,0.045454518
